Date,NIFTY18DECFUT O,NIFTY18DECFUT H,NIFTY18DECFUT L,NIFTY18DECFUT C,NIFTY18DECFUT V
11/30/2018 3:29:00 PM,10912.5,10915,10910.5,10914.95,103800
11/30/2018 3:28:00 PM,10912.75,10914.85,10912.3,10912.9,65625
11/30/2018 3:27:00 PM,10912.1,10914.1,10912.05,10912.75,72450
11/30/2018 3:26:00 PM,10909.1,10912.7,10909,10912.6,67200
11/30/2018 3:25:00 PM,10910,10910,10908.5,10908.6,51150
11/30/2018 3:24:00 PM,10908.2,10910,10908,10909.5,40200
11/30/2018 3:23:00 PM,10909.35,10911.5,10908.1,10908.2,63525
11/30/2018 3:22:00 PM,10908.9,10910.1,10907.15,10908.1,86175
11/30/2018 3:21:00 PM,10906.3,10908.95,10905.25,10908.5,42075
11/30/2018 3:20:00 PM,10904.45,10906.95,10904.45,10906.25,55725
11/30/2018 3:19:00 PM,10901.45,10904.7,10901.45,10904.25,36075
11/30/2018 3:18:00 PM,10899.95,10902,10899.95,10901,50100
11/30/2018 3:17:00 PM,10900.65,10902.55,10899.45,10900.2,42750
11/30/2018 3:16:00 PM,10895.9,10900.9,10894.35,10900.85,60225
11/30/2018 3:15:00 PM,10891.75,10898,10890.75,10895,95925
11/30/2018 3:14:00 PM,10898,10898.85,10893.15,10893.15,35025
11/30/2018 3:13:00 PM,10895.55,10897.95,10894.3,10896.65,27900
11/30/2018 3:12:00 PM,10897,10899.3,10894.25,10895.95,28425
11/30/2018 3:11:00 PM,10893.55,10899.7,10892.5,10899.4,60300
11/30/2018 3:10:00 PM,10893.1,10894,10891.25,10893.25,44925
11/30/2018 3:09:00 PM,10896.95,10896.95,10892.75,10893.1,46275
11/30/2018 3:08:00 PM,10899.9,10904,10895.2,10897.2,74400
11/30/2018 3:07:00 PM,10893.5,10899.85,10893.5,10899.85,47250
11/30/2018 3:06:00 PM,10895.9,10895.9,10893,10893.45,34800
11/30/2018 3:05:00 PM,10887.9,10895.35,10887.6,10893.8,64875
11/30/2018 3:04:00 PM,10891.2,10892.35,10885.9,10886.3,36150
11/30/2018 3:03:00 PM,10891,10893.9,10888.05,10891.25,38475
11/30/2018 3:02:00 PM,10886.2,10890.75,10885.05,10890.75,47100
11/30/2018 3:01:00 PM,10883,10887.4,10880.45,10885,48750
11/30/2018 3:00:00 PM,10874.4,10883,10874.1,10883,42975
11/30/2018 2:59:00 PM,10865.9,10873.9,10865.9,10873.05,17850
11/30/2018 2:58:00 PM,10870,10870.6,10865.9,10866,19575
11/30/2018 2:57:00 PM,10869.15,10871.6,10868,10870,17625
11/30/2018 2:56:00 PM,10868.45,10870,10866.6,10869.15,15075
11/30/2018 2:55:00 PM,10870,10873.3,10866.65,10868.45,20850
11/30/2018 2:54:00 PM,10865,10870,10863.55,10870,25800
11/30/2018 2:53:00 PM,10873,10874.3,10865,10865,49725
11/30/2018 2:52:00 PM,10882.1,10882.6,10873,10873,53250
11/30/2018 2:51:00 PM,10886,10886.9,10881.55,10882.1,14925
11/30/2018 2:50:00 PM,10885.15,10888.9,10884.4,10886,17175
11/30/2018 2:49:00 PM,10887.3,10890.9,10885.1,10885.15,34500
11/30/2018 2:48:00 PM,10893.2,10893.9,10887.3,10887.9,17550
11/30/2018 2:47:00 PM,10890,10895.2,10890,10893.35,13650
11/30/2018 2:46:00 PM,10886.4,10891.5,10885.6,10891,11850
11/30/2018 2:45:00 PM,10893.5,10893.85,10886.45,10886.45,13650
11/30/2018 2:44:00 PM,10890.1,10893.9,10890.1,10893.5,18300
11/30/2018 2:43:00 PM,10891.5,10893.9,10890.1,10890.1,15600
11/30/2018 2:42:00 PM,10895,10895,10891,10891.5,23475
11/30/2018 2:41:00 PM,10893.85,10897.7,10892.1,10894.65,21900
11/30/2018 2:40:00 PM,10896.75,10902.6,10892.55,10893.85,105375
11/30/2018 2:39:00 PM,10887.15,10894,10885,10894,26400
11/30/2018 2:38:00 PM,10886,10889,10885,10887.15,21525
11/30/2018 2:37:00 PM,10884.8,10888,10884.45,10886,22950
11/30/2018 2:36:00 PM,10889,10890,10882.1,10884.8,31200
11/30/2018 2:35:00 PM,10878.9,10890.5,10878,10889.9,85800
11/30/2018 2:34:00 PM,10872.05,10878.9,10871.6,10878.9,24150
11/30/2018 2:33:00 PM,10873.8,10873.8,10870,10872.05,12525
11/30/2018 2:32:00 PM,10869.65,10873.8,10869.5,10873.8,19500
11/30/2018 2:31:00 PM,10860.55,10869.65,10859.55,10869.65,10050
11/30/2018 2:30:00 PM,10860,10861.9,10859,10860.55,16200
11/30/2018 2:29:00 PM,10864,10866,10861.5,10861.5,18525
11/30/2018 2:28:00 PM,10865.25,10866.55,10864,10864.8,9750
11/30/2018 2:27:00 PM,10866.35,10869.7,10864.1,10865.55,12450
11/30/2018 2:26:00 PM,10868.2,10872.9,10865.25,10866.35,9525
11/30/2018 2:25:00 PM,10867.55,10869.35,10865.4,10868.2,10425
11/30/2018 2:24:00 PM,10872.4,10872.4,10867.55,10867.55,18600
11/30/2018 2:23:00 PM,10868.4,10873.6,10868.3,10872.2,23025
11/30/2018 2:22:00 PM,10865,10869.8,10865,10868.4,20475
11/30/2018 2:21:00 PM,10856.95,10865.4,10855.5,10865.4,60075
11/30/2018 2:20:00 PM,10860.7,10861,10855.5,10855.5,64425
11/30/2018 2:19:00 PM,10863.2,10865,10860.1,10860.1,19200
11/30/2018 2:18:00 PM,10871.5,10871.5,10860.65,10863.2,66975
11/30/2018 2:17:00 PM,10875,10875,10870.25,10870.25,14925
11/30/2018 2:16:00 PM,10876,10877,10875,10875,11775
11/30/2018 2:15:00 PM,10874.85,10876.9,10872.05,10876,5775
11/30/2018 2:14:00 PM,10875,10875.4,10873,10874.85,8850
11/30/2018 2:13:00 PM,10875.85,10876.05,10872,10875,7275
11/30/2018 2:12:00 PM,10874.2,10877.9,10874.2,10875.85,16950
11/30/2018 2:11:00 PM,10871,10874.95,10870.1,10874.8,19200
11/30/2018 2:10:00 PM,10871.05,10872.35,10870,10871,9750
11/30/2018 2:09:00 PM,10875,10876.9,10871,10873.75,23325
11/30/2018 2:08:00 PM,10871,10875,10870.35,10875,11475
11/30/2018 2:07:00 PM,10867.35,10871.9,10867.2,10871.9,10950
11/30/2018 2:06:00 PM,10868,10869.05,10865.05,10867.35,17175
11/30/2018 2:05:00 PM,10871.75,10872.5,10867.25,10867.25,13875
11/30/2018 2:04:00 PM,10874.8,10874.9,10871.3,10871.75,12075
11/30/2018 2:03:00 PM,10873.65,10874.9,10871.2,10873.6,9825
11/30/2018 2:02:00 PM,10872.25,10873.9,10870.2,10873,14175
11/30/2018 2:01:00 PM,10870,10874,10869.25,10872.4,11850
11/30/2018 2:00:00 PM,10870,10871,10867.2,10870,11850
11/30/2018 1:59:00 PM,10868.2,10872.4,10868.2,10870,8100
11/30/2018 1:58:00 PM,10872.9,10873,10867.55,10868.2,24000
11/30/2018 1:57:00 PM,10872.25,10878.9,10870.2,10871.85,39675
11/30/2018 1:56:00 PM,10869.05,10872.9,10869.05,10872.25,9825
11/30/2018 1:55:00 PM,10870.2,10871.9,10867.75,10871.35,9600
11/30/2018 1:54:00 PM,10872.2,10873.45,10869.1,10870.2,14025
11/30/2018 1:53:00 PM,10874,10874.7,10870.85,10872.1,9675
11/30/2018 1:52:00 PM,10874.9,10874.9,10869.55,10874,23700
11/30/2018 1:51:00 PM,10876.75,10880,10874.05,10874.9,24300
11/30/2018 1:50:00 PM,10881.9,10881.95,10877.45,10877.45,15750
11/30/2018 1:49:00 PM,10875.8,10882,10874.55,10880.7,17025
11/30/2018 1:48:00 PM,10876.35,10878.9,10873.65,10875.8,12225
11/30/2018 1:47:00 PM,10872.55,10877.9,10871.15,10877.85,18300
11/30/2018 1:46:00 PM,10876.95,10879,10871.1,10871.15,18825
11/30/2018 1:45:00 PM,10874.6,10877.9,10873,10877,14400
11/30/2018 1:44:00 PM,10880.1,10881,10873,10875,18900
11/30/2018 1:43:00 PM,10882.95,10888,10878.1,10878.15,51975
11/30/2018 1:42:00 PM,10874.65,10883.8,10874.65,10882.8,31200
11/30/2018 1:41:00 PM,10869.7,10876.75,10869.65,10876.75,18300
11/30/2018 1:40:00 PM,10870.75,10870.75,10867.2,10870,12450
11/30/2018 1:39:00 PM,10874.05,10874.95,10868,10870.75,17700
11/30/2018 1:38:00 PM,10875,10878,10874,10874.95,14400
11/30/2018 1:37:00 PM,10877.85,10878,10875,10875,18975
11/30/2018 1:36:00 PM,10873.85,10878.6,10873.2,10878,32925
11/30/2018 1:35:00 PM,10872.8,10874,10871.3,10873.2,23100
11/30/2018 1:34:00 PM,10870,10872.9,10868.1,10872.9,19575
11/30/2018 1:33:00 PM,10866.6,10872,10865.05,10869,29850
11/30/2018 1:32:00 PM,10865,10872.9,10865,10868.3,107700
11/30/2018 1:31:00 PM,10883.65,10883.9,10864.15,10864.15,164475
11/30/2018 1:30:00 PM,10882.05,10885,10882,10883,11925
11/30/2018 1:29:00 PM,10880.6,10882.5,10879.1,10881.6,12300
11/30/2018 1:28:00 PM,10880.6,10880.9,10879,10880.6,11550
11/30/2018 1:27:00 PM,10879.95,10881,10878.55,10880.9,8625
11/30/2018 1:26:00 PM,10882,10882.85,10878.05,10880.3,12975
11/30/2018 1:25:00 PM,10885.9,10885.9,10880.2,10881.3,20025
11/30/2018 1:24:00 PM,10876.9,10886,10876.9,10886,14775
11/30/2018 1:23:00 PM,10878.65,10879.25,10876,10876.15,17025
11/30/2018 1:22:00 PM,10878.7,10882.4,10878.05,10878.5,24900
11/30/2018 1:21:00 PM,10882.55,10883,10878,10879.8,56625
11/30/2018 1:20:00 PM,10887,10887,10882.55,10882.55,26475
11/30/2018 1:19:00 PM,10887.75,10889.9,10886.1,10886.15,11250
11/30/2018 1:18:00 PM,10888.9,10888.9,10886.8,10887.7,9675
11/30/2018 1:17:00 PM,10891,10891.6,10885.25,10888.9,17550
11/30/2018 1:16:00 PM,10886.2,10892.5,10886.1,10891.5,8700
11/30/2018 1:15:00 PM,10885.1,10887,10885.1,10886.2,7125
11/30/2018 1:14:00 PM,10890,10890.1,10885.05,10886,11550
11/30/2018 1:13:00 PM,10892.95,10894.2,10890,10890,12000
11/30/2018 1:12:00 PM,10895.2,10896.85,10892.1,10892.9,15675
11/30/2018 1:11:00 PM,10890.05,10895.9,10890,10895.9,25200
11/30/2018 1:10:00 PM,10887.95,10889.6,10886.8,10889.6,7800
11/30/2018 1:09:00 PM,10889.9,10889.9,10884,10887.95,27150
11/30/2018 1:08:00 PM,10888.15,10889.9,10888,10889.9,10200
11/30/2018 1:07:00 PM,10884.35,10888.2,10884.3,10888.15,12450
11/30/2018 1:06:00 PM,10884.05,10884.6,10883.2,10884.6,8175
11/30/2018 1:05:00 PM,10884.55,10885,10883,10883.2,18300
11/30/2018 1:04:00 PM,10887.3,10887.3,10884,10885.05,27825
11/30/2018 1:03:00 PM,10890,10890,10887.3,10887.3,17700
11/30/2018 1:02:00 PM,10890.35,10891.5,10890,10890,15675
11/30/2018 1:01:00 PM,10888.45,10890.85,10887.25,10890.35,9600
11/30/2018 1:00:00 PM,10895.3,10895.3,10887.2,10888,15225
11/30/2018 12:59:00 PM,10890.9,10896.4,10890.9,10895.3,18975
11/30/2018 12:58:00 PM,10886.6,10891.55,10886.6,10891.55,20325
11/30/2018 12:57:00 PM,10882.15,10887,10882,10887,21600
11/30/2018 12:56:00 PM,10886.7,10887,10882,10882.7,39750
11/30/2018 12:55:00 PM,10889.2,10889.2,10886.3,10887,14025
11/30/2018 12:54:00 PM,10888,10889.2,10887.45,10889.2,13650
11/30/2018 12:53:00 PM,10886.05,10888,10883.15,10888,30000
11/30/2018 12:52:00 PM,10885,10887.95,10883,10885.75,46200
11/30/2018 12:51:00 PM,10888.45,10888.45,10885,10885,48150
11/30/2018 12:50:00 PM,10896,10896,10888,10888.05,72675
11/30/2018 12:49:00 PM,10898.25,10898.35,10896,10896,12450
11/30/2018 12:48:00 PM,10896.15,10898.8,10896.15,10898.45,20175
11/30/2018 12:47:00 PM,10894.05,10897,10893.95,10896.15,23700
11/30/2018 12:46:00 PM,10899.65,10899.7,10894,10894,26325
11/30/2018 12:45:00 PM,10905.85,10905.85,10899.65,10899.65,18750
11/30/2018 12:44:00 PM,10907,10908.8,10905.05,10905.05,12825
11/30/2018 12:43:00 PM,10903,10907.15,10902.35,10906.95,7350
11/30/2018 12:42:00 PM,10901.7,10903.5,10900.35,10902.2,15675
11/30/2018 12:41:00 PM,10901,10902.75,10900.7,10902,9375
11/30/2018 12:40:00 PM,10901,10901.1,10900,10901.05,5325
11/30/2018 12:39:00 PM,10901,10901.8,10900,10901,9825
11/30/2018 12:38:00 PM,10901.1,10901.9,10900.55,10901,9975
11/30/2018 12:37:00 PM,10903.45,10904,10901.1,10901.1,9600
11/30/2018 12:36:00 PM,10904,10906,10903.45,10903.45,7425
11/30/2018 12:35:00 PM,10904.1,10905.2,10903.3,10903.8,7500
11/30/2018 12:34:00 PM,10905,10906.25,10902.3,10904.1,13050
11/30/2018 12:33:00 PM,10904,10906.55,10903,10905.15,15150
11/30/2018 12:32:00 PM,10901.25,10904.75,10901,10904.7,11175
11/30/2018 12:31:00 PM,10900.95,10902.1,10899.65,10901.2,19275
11/30/2018 12:30:00 PM,10906,10906,10900.4,10900.4,34575
11/30/2018 12:29:00 PM,10905.6,10907.8,10905.55,10906,6900
11/30/2018 12:28:00 PM,10909.3,10909.7,10905.55,10905.6,11400
11/30/2018 12:27:00 PM,10907.15,10909.5,10906.8,10908.95,6525
11/30/2018 12:26:00 PM,10906,10908.05,10905.6,10907.2,12900
11/30/2018 12:25:00 PM,10908.05,10908.95,10906,10906,10875
11/30/2018 12:24:00 PM,10908.35,10908.8,10905.2,10908.05,17250
11/30/2018 12:23:00 PM,10909.9,10910.2,10908.35,10908.35,19875
11/30/2018 12:22:00 PM,10910.6,10912.35,10909,10909.95,34425
11/30/2018 12:21:00 PM,10905.85,10910.8,10905.55,10910.55,18525
11/30/2018 12:20:00 PM,10902,10906.3,10902,10906.3,10200
11/30/2018 12:19:00 PM,10902.2,10902.9,10901.55,10902,9150
11/30/2018 12:18:00 PM,10901.15,10902.3,10901.15,10902.2,6375
11/30/2018 12:17:00 PM,10900.4,10902.6,10900,10901,16875
11/30/2018 12:16:00 PM,10900.1,10901,10898.1,10900,17775
11/30/2018 12:15:00 PM,10902,10902.2,10900,10900.1,10275
11/30/2018 12:14:00 PM,10906.65,10907.2,10901.95,10902.05,14025
11/30/2018 12:13:00 PM,10901.15,10907.9,10900,10907.6,16200
11/30/2018 12:12:00 PM,10902.15,10902.15,10900,10900.55,6900
11/30/2018 12:11:00 PM,10903.7,10903.7,10898.55,10902.15,16275
11/30/2018 12:10:00 PM,10901,10905.6,10901,10903.25,13350
11/30/2018 12:09:00 PM,10901,10901.05,10897.95,10901,18225
11/30/2018 12:08:00 PM,10899.55,10901,10899.05,10900.9,17925
11/30/2018 12:07:00 PM,10900.8,10901.7,10898.25,10899.8,36975
11/30/2018 12:06:00 PM,10895.85,10900.55,10893,10899.65,36975
11/30/2018 12:05:00 PM,10896,10897.25,10895,10895.2,23700
11/30/2018 12:04:00 PM,10896.5,10899.45,10895,10896,16200
11/30/2018 12:03:00 PM,10897.8,10897.8,10891.5,10896.5,24600
11/30/2018 12:02:00 PM,10900.5,10901.4,10897.1,10897.8,12975
11/30/2018 12:01:00 PM,10904,10904,10900.3,10900.95,7350
11/30/2018 12:00:00 PM,10906,10906.3,10902.25,10902.25,9525
11/30/2018 11:59:00 AM,10906.05,10906.95,10905.45,10906,8550
11/30/2018 11:58:00 AM,10909.3,10910,10905.8,10905.95,24600
11/30/2018 11:57:00 AM,10906,10910.6,10906,10909.3,29175
11/30/2018 11:56:00 AM,10899,10907,10898.25,10905.5,24600
11/30/2018 11:55:00 AM,10901,10901,10894,10899,40575
11/30/2018 11:54:00 AM,10901.05,10902,10894.2,10900,65175
11/30/2018 11:53:00 AM,10900.6,10902.95,10900.5,10901.3,13575
11/30/2018 11:52:00 AM,10902.2,10903.7,10900.25,10900.65,15000
11/30/2018 11:51:00 AM,10905.85,10905.85,10901,10902.05,19425
11/30/2018 11:50:00 AM,10903.85,10906.85,10903,10905,9825
11/30/2018 11:49:00 AM,10904,10904.3,10902,10902.25,12750
11/30/2018 11:48:00 AM,10903.7,10905.65,10902.8,10904.95,13800
11/30/2018 11:47:00 AM,10903.55,10907.55,10903.5,10903.7,16125
11/30/2018 11:46:00 AM,10903,10903.95,10900.05,10903.7,24900
11/30/2018 11:45:00 AM,10906.25,10906.25,10900,10902.55,88200
11/30/2018 11:44:00 AM,10909.85,10909.85,10904.25,10904.25,36075
11/30/2018 11:43:00 AM,10910.2,10912,10909,10909.8,17550
11/30/2018 11:42:00 AM,10913.35,10914,10910.2,10910.2,13125
11/30/2018 11:41:00 AM,10915,10917.3,10913.65,10913.65,17700
11/30/2018 11:40:00 AM,10908,10915,10907.1,10914.95,24975
11/30/2018 11:39:00 AM,10909.25,10909.35,10907,10908,35625
11/30/2018 11:38:00 AM,10910.2,10910.7,10908,10909.45,32175
11/30/2018 11:37:00 AM,10912,10915,10910.2,10910.2,49950
11/30/2018 11:36:00 AM,10917.9,10918.9,10911.45,10912.95,96825
11/30/2018 11:35:00 AM,10919,10920,10917.9,10919.05,19050
11/30/2018 11:34:00 AM,10923,10923,10918.8,10918.8,14925
11/30/2018 11:33:00 AM,10922,10924,10921.5,10923,15825
11/30/2018 11:32:00 AM,10923.45,10924.45,10921.55,10922,22725
11/30/2018 11:31:00 AM,10924.2,10925,10923.45,10923.45,9225
11/30/2018 11:30:00 AM,10928.6,10928.6,10924,10924.8,5175
11/30/2018 11:29:00 AM,10929.3,10931,10928.25,10928.6,9975
11/30/2018 11:28:00 AM,10925.35,10929.6,10925.35,10929.3,5700
11/30/2018 11:27:00 AM,10925.75,10927.85,10924.95,10925.35,5400
11/30/2018 11:26:00 AM,10926.15,10927.8,10925,10925.75,9150
11/30/2018 11:25:00 AM,10928.8,10929.15,10925.3,10926.5,8325
11/30/2018 11:24:00 AM,10928,10929.2,10928,10928.8,6825
11/30/2018 11:23:00 AM,10930.4,10931,10928,10928,11475
11/30/2018 11:22:00 AM,10932.9,10934.05,10930.35,10930.4,6900
11/30/2018 11:21:00 AM,10929.3,10934,10929.3,10932.9,6675
11/30/2018 11:20:00 AM,10928.1,10929.25,10928,10929.05,3975
